variable,areaName,Borough,areaType,value
2010-01-01,Midtown South,Manhattan,neighborhood,95
2010-01-01,Midtown West,Manhattan,neighborhood,454
2010-01-01,Midwood,Brooklyn,neighborhood,49
2010-01-01,Mill Basin,Brooklyn,neighborhood,22
2010-01-01,Morningside Heights,Manhattan,neighborhood,57
2010-01-01,Morris Heights,Bronx,neighborhood,0
2010-01-01,Morris Park,Bronx,neighborhood,22
2010-01-01,Morrisania,Bronx,neighborhood,2
2010-01-01,Mott Haven,Bronx,neighborhood,6
2010-01-01,NYC,,city,14699
2010-01-01,New Hyde Park,Queens,neighborhood,1
2010-01-01,Nolita,Manhattan,neighborhood,35
2010-01-01,North Brooklyn,Brooklyn,submarket,554
2010-01-01,North Corona,Queens,neighborhood,5
2010-01-01,Northeast Queens,Queens,submarket,264
2010-01-01,Northwest Brooklyn,Brooklyn,submarket,1010
2010-01-01,Northwest Queens,Queens,submarket,301
2010-01-01,Norwood,Bronx,neighborhood,1
2010-01-01,Oakland Gardens,Queens,neighborhood,11
2010-01-01,Ocean Parkway,Brooklyn,neighborhood,0
2010-01-01,Old Mill Basin,Brooklyn,neighborhood,1
2010-01-01,Ozone Park,Queens,neighborhood,2
2010-01-01,Park Slope,Brooklyn,neighborhood,332
2010-01-01,Parkchester,Bronx,neighborhood,23
2010-01-01,Pelham Bay,Bronx,neighborhood,3
2010-01-01,Pelham Gardens,Bronx,neighborhood,1
2010-01-01,Pelham Parkway,Bronx,neighborhood,0
2010-01-01,Pomonok,Queens,neighborhood,3
2010-01-01,Port Morris,Bronx,neighborhood,0
2010-01-01,Prospect Heights,Brooklyn,neighborhood,117
2010-01-01,Prospect Lefferts Gardens,Brooklyn,neighborhood,24
2010-01-01,Prospect Park,Brooklyn,submarket,515
2010-01-01,Prospect Park South,Brooklyn,neighborhood,8
2010-01-01,Queens,Queens,borough,872
2010-01-01,Queens Village,Queens,neighborhood,1
2010-01-01,Red Hook,Brooklyn,neighborhood,7
2010-01-01,Rego Park,Queens,neighborhood,15
2010-01-01,Richmond Hill,Queens,neighborhood,0
2010-01-01,Ridgewood,Queens,neighborhood,19
2010-01-01,Riverdale,Bronx,neighborhood,401
2010-01-01,Rockaway All,Queens,neighborhood,32
2010-01-01,Roosevelt Island,Manhattan,neighborhood,40
2010-01-01,Rosedale,Queens,neighborhood,0
2010-01-01,Schuylerville,Bronx,neighborhood,0
2010-01-01,Seagate,Brooklyn,neighborhood,2
2010-01-01,Sheepshead Bay,Brooklyn,neighborhood,86
2010-01-01,Soho,Manhattan,neighborhood,191
2010-01-01,Soundview,Bronx,neighborhood,5
2010-01-01,South Brooklyn,Brooklyn,submarket,651
2010-01-01,South Jamaica,Queens,neighborhood,6
2010-01-01,South Ozone Park,Queens,neighborhood,1
2010-01-01,South Queens,Queens,submarket,64
2010-01-01,South Richmond Hill,Queens,neighborhood,1
2010-01-01,Springfield Gardens,Queens,neighborhood,2
2010-01-01,St. Albans,Queens,neighborhood,9
2010-01-01,Staten Island,Staten Island,borough,49
2010-01-01,Stuyvesant Town/PCV,Manhattan,neighborhood,0
2010-01-01,Sunnyside,Queens,neighborhood,12
2010-01-01,Sunset Park,Brooklyn,neighborhood,38
2010-01-01,The Rockaways,Queens,submarket,32
2010-01-01,Throgs Neck,Bronx,neighborhood,5
2010-01-01,Tremont,Bronx,neighborhood,2
2010-01-01,Tribeca,Manhattan,neighborhood,339
2010-01-01,University Heights,Bronx,neighborhood,23
2010-01-01,Upper East Side,Manhattan,neighborhood,2200
2010-01-01,Upper West Side,Manhattan,neighborhood,1463
2010-01-01,Utopia,Queens,neighborhood,4
2010-01-01,Van Nest,Bronx,neighborhood,1
2010-01-01,Wakefield,Bronx,neighborhood,2
2010-01-01,Washington Heights,Manhattan,neighborhood,220
2010-01-01,West Harlem,Manhattan,neighborhood,12
2010-01-01,West Village,Manhattan,neighborhood,217
2010-01-01,Westchester Village,Bronx,neighborhood,0
2010-01-01,Whitestone,Queens,neighborhood,12
2010-01-01,Williamsbridge,Bronx,neighborhood,5
2010-01-01,Williamsburg,Brooklyn,neighborhood,461
2010-01-01,Windsor Terrace,Brooklyn,neighborhood,34
2010-01-01,Woodhaven,Queens,neighborhood,7
2010-01-01,Woodlawn,Bronx,neighborhood,1
2010-01-01,Woodside,Queens,neighborhood,20
2010-01-01,Woodstock,Bronx,neighborhood,2
2010-02-01,All Downtown,Manhattan,submarket,2963
2010-02-01,All Midtown,Manhattan,submarket,2347
2010-02-01,All Upper East Side,Manhattan,submarket,2296
2010-02-01,All Upper Manhattan,Manhattan,submarket,1207
2010-02-01,All Upper West Side,Manhattan,submarket,1454
2010-02-01,Astoria,Queens,neighborhood,162
2010-02-01,Auburndale,Queens,neighborhood,6
2010-02-01,Bath Beach,Brooklyn,neighborhood,5
2010-02-01,Battery Park City,Manhattan,neighborhood,164
