variable,areaName,Borough,areaType,value
2010-01-01,Melrose,Bronx,neighborhood,
2010-01-01,Middle Village,Queens,neighborhood,
2010-01-01,Midtown,Manhattan,neighborhood,3700.0
2010-01-01,Midtown East,Manhattan,neighborhood,2695.0
2010-01-01,Midtown South,Manhattan,neighborhood,3200.0
2010-01-01,Midtown West,Manhattan,neighborhood,2600.0
2010-01-01,Midwood,Brooklyn,neighborhood,1825.0
2010-01-01,Mill Basin,Brooklyn,neighborhood,
2010-01-01,Morningside Heights,Manhattan,neighborhood,2200.0
2010-01-01,Morris Heights,Bronx,neighborhood,
2010-01-01,Morris Park,Bronx,neighborhood,
2010-01-01,Morrisania,Bronx,neighborhood,
2010-01-01,Mott Haven,Bronx,neighborhood,
2010-01-01,NYC,,city,2650.0
2010-01-01,New Hyde Park,Queens,neighborhood,
2010-01-01,Nolita,Manhattan,neighborhood,3248.0
2010-01-01,North Brooklyn,Brooklyn,submarket,2500.0
2010-01-01,North Corona,Queens,neighborhood,
2010-01-01,Northeast Queens,Queens,submarket,1650.0
2010-01-01,Northwest Brooklyn,Brooklyn,submarket,2300.0
2010-01-01,Northwest Queens,Queens,submarket,1800.0
2010-01-01,Norwood,Bronx,neighborhood,
2010-01-01,Oakland Gardens,Queens,neighborhood,
2010-01-01,Ocean Parkway,Brooklyn,neighborhood,
2010-01-01,Old Mill Basin,Brooklyn,neighborhood,
2010-01-01,Ozone Park,Queens,neighborhood,
2010-01-01,Park Slope,Brooklyn,neighborhood,2200.0
2010-01-01,Parkchester,Bronx,neighborhood,
2010-01-01,Pelham Bay,Bronx,neighborhood,
2010-01-01,Pelham Gardens,Bronx,neighborhood,
2010-01-01,Pelham Parkway,Bronx,neighborhood,
2010-01-01,Pomonok,Queens,neighborhood,
2010-01-01,Port Morris,Bronx,neighborhood,
2010-01-01,Prospect Heights,Brooklyn,neighborhood,2150.0
2010-01-01,Prospect Lefferts Gardens,Brooklyn,neighborhood,1795.0
2010-01-01,Prospect Park,Brooklyn,submarket,2100.0
2010-01-01,Prospect Park South,Brooklyn,neighborhood,
2010-01-01,Queens,Queens,borough,1655.0
2010-01-01,Queens Village,Queens,neighborhood,
2010-01-01,Red Hook,Brooklyn,neighborhood,2000.0
2010-01-01,Rego Park,Queens,neighborhood,1375.0
2010-01-01,Richmond Hill,Queens,neighborhood,
2010-01-01,Ridgewood,Queens,neighborhood,
2010-01-01,Riverdale,Bronx,neighborhood,1800.0
2010-01-01,Rockaway All,Queens,neighborhood,
2010-01-01,Roosevelt Island,Manhattan,neighborhood,2577.0
2010-01-01,Rosedale,Queens,neighborhood,
2010-01-01,Schuylerville,Bronx,neighborhood,
2010-01-01,Seagate,Brooklyn,neighborhood,
2010-01-01,Sheepshead Bay,Brooklyn,neighborhood,1400.0
2010-01-01,Soho,Manhattan,neighborhood,5200.0
2010-01-01,Soundview,Bronx,neighborhood,
2010-01-01,South Brooklyn,Brooklyn,submarket,1595.0
2010-01-01,South Jamaica,Queens,neighborhood,
2010-01-01,South Ozone Park,Queens,neighborhood,
2010-01-01,South Queens,Queens,submarket,
2010-01-01,South Richmond Hill,Queens,neighborhood,
2010-01-01,Springfield Gardens,Queens,neighborhood,
2010-01-01,St. Albans,Queens,neighborhood,
2010-01-01,Staten Island,Staten Island,borough,
2010-01-01,Stuyvesant Town/PCV,Manhattan,neighborhood,
2010-01-01,Sunnyside,Queens,neighborhood,1550.0
2010-01-01,Sunset Park,Brooklyn,neighborhood,1500.0
2010-01-01,The Rockaways,Queens,submarket,
2010-01-01,Throgs Neck,Bronx,neighborhood,
2010-01-01,Tremont,Bronx,neighborhood,
2010-01-01,Tribeca,Manhattan,neighborhood,6500.0
2010-01-01,University Heights,Bronx,neighborhood,1100.0
2010-01-01,Upper East Side,Manhattan,neighborhood,2460.0
2010-01-01,Upper West Side,Manhattan,neighborhood,2895.0
2010-01-01,Utopia,Queens,neighborhood,
2010-01-01,Van Nest,Bronx,neighborhood,
2010-01-01,Wakefield,Bronx,neighborhood,
2010-01-01,Washington Heights,Manhattan,neighborhood,1550.0
2010-01-01,West Harlem,Manhattan,neighborhood,
2010-01-01,West Village,Manhattan,neighborhood,3265.0
2010-01-01,Westchester Village,Bronx,neighborhood,
2010-01-01,Whitestone,Queens,neighborhood,
2010-01-01,Williamsbridge,Bronx,neighborhood,
2010-01-01,Williamsburg,Brooklyn,neighborhood,2500.0
2010-01-01,Windsor Terrace,Brooklyn,neighborhood,1600.0
2010-01-01,Woodhaven,Queens,neighborhood,
2010-01-01,Woodlawn,Bronx,neighborhood,
2010-01-01,Woodside,Queens,neighborhood,1813.0
2010-01-01,Woodstock,Bronx,neighborhood,
2010-02-01,All Downtown,Manhattan,submarket,3200.0
2010-02-01,All Midtown,Manhattan,submarket,2800.0
2010-02-01,All Upper East Side,Manhattan,submarket,2450.0
2010-02-01,All Upper Manhattan,Manhattan,submarket,1800.0
